main
Testing r = 10, fs = 0.010
  Trial 1: Success = 1, Time = 3.41 s, L_error = 5.35e-06, S_error = 2.75e-05
  Trial 2: Success = 1, Time = 3.09 s, L_error = 9.02e-06, S_error = 9.57e-06
  Trial 3: Success = 1, Time = 3.30 s, L_error = 2.16e-06, S_error = 2.09e-05
  Trial 4: Success = 1, Time = 3.49 s, L_error = 6.31e-06, S_error = 1.93e-05
  Trial 5: Success = 1, Time = 3.31 s, L_error = 2.19e-06, S_error = 2.64e-05
  Trial 6: Success = 1, Time = 4.00 s, L_error = 4.56e-06, S_error = 2.50e-05
  Trial 7: Success = 1, Time = 3.49 s, L_error = 1.61e-06, S_error = 2.39e-05
  Trial 8: Success = 1, Time = 3.27 s, L_error = 3.41e-06, S_error = 2.06e-05
  Trial 9: Success = 1, Time = 3.35 s, L_error = 5.40e-06, S_error = 2.69e-05
  Trial 10: Success = 1, Time = 3.07 s, L_error = 3.97e-06, S_error = 2.07e-05
  Trial 11: Success = 1, Time = 5.18 s, L_error = 1.66e-06, S_error = 2.20e-05
  Trial 12: Success = 1, Time = 4.90 s, L_error = 1.61e-06, S_error = 3.10e-05
  Trial 13: Success = 1, Time = 2.99 s, L_error = 6.99e-06, S_error = 1.86e-05
  Trial 14: Success = 1, Time = 3.31 s, L_error = 1.81e-06, S_error = 3.25e-05
  Trial 15: Success = 1, Time = 3.22 s, L_error = 1.65e-06, S_error = 2.61e-05
Testing r = 10, fs = 0.020
  Trial 1: Success = 1, Time = 3.92 s, L_error = 2.22e-06, S_error = 2.05e-05
  Trial 2: Success = 1, Time = 4.05 s, L_error = 3.58e-06, S_error = 1.56e-05
  Trial 3: Success = 1, Time = 4.54 s, L_error = 1.73e-06, S_error = 2.43e-05
  Trial 4: Success = 1, Time = 3.92 s, L_error = 1.89e-06, S_error = 1.92e-05
  Trial 5: Success = 1, Time = 4.18 s, L_error = 1.65e-06, S_error = 2.25e-05
  Trial 6: Success = 1, Time = 4.81 s, L_error = 1.80e-06, S_error = 2.17e-05
  Trial 7: Success = 1, Time = 3.77 s, L_error = 4.51e-06, S_error = 2.09e-05
  Trial 8: Success = 1, Time = 4.24 s, L_error = 2.59e-06, S_error = 1.87e-05
  Trial 9: Success = 1, Time = 4.50 s, L_error = 1.91e-06, S_error = 1.94e-05
  Trial 10: Success = 1, Time = 4.25 s, L_error = 2.02e-06, S_error = 1.83e-05
  Trial 11: Success = 1, Time = 4.51 s, L_error = 2.39e-06, S_error = 2.30e-05
  Trial 12: Success = 1, Time = 4.33 s, L_error = 1.83e-06, S_error = 1.94e-05
  Trial 13: Success = 1, Time = 4.56 s, L_error = 2.15e-06, S_error = 2.07e-05
  Trial 14: Success = 1, Time = 3.96 s, L_error = 2.11e-06, S_error = 2.39e-05
  Trial 15: Success = 1, Time = 5.09 s, L_error = 1.89e-06, S_error = 2.20e-05
Testing r = 10, fs = 0.030
  Trial 1: Success = 1, Time = 4.96 s, L_error = 2.11e-06, S_error = 2.01e-05
  Trial 2: Success = 1, Time = 5.12 s, L_error = 1.95e-06, S_error = 1.79e-05
  Trial 3: Success = 1, Time = 4.97 s, L_error = 2.02e-06, S_error = 1.97e-05
  Trial 4: Success = 1, Time = 5.04 s, L_error = 1.84e-06, S_error = 1.99e-05
  Trial 5: Success = 1, Time = 4.95 s, L_error = 1.89e-06, S_error = 1.99e-05
  Trial 6: Success = 1, Time = 5.14 s, L_error = 2.20e-06, S_error = 1.71e-05
  Trial 7: Success = 1, Time = 4.94 s, L_error = 1.86e-06, S_error = 1.90e-05
  Trial 8: Success = 1, Time = 4.83 s, L_error = 2.20e-06, S_error = 1.98e-05
  Trial 9: Success = 1, Time = 4.52 s, L_error = 2.30e-06, S_error = 1.87e-05
  Trial 10: Success = 1, Time = 5.03 s, L_error = 1.81e-06, S_error = 1.90e-05
  Trial 11: Success = 1, Time = 4.55 s, L_error = 2.29e-06, S_error = 1.49e-05
  Trial 12: Success = 1, Time = 4.73 s, L_error = 2.13e-06, S_error = 2.09e-05
  Trial 13: Success = 1, Time = 4.66 s, L_error = 2.38e-06, S_error = 2.04e-05
  Trial 14: Success = 1, Time = 5.00 s, L_error = 2.25e-06, S_error = 1.88e-05
  Trial 15: Success = 1, Time = 4.50 s, L_error = 3.63e-06, S_error = 1.90e-05
Testing r = 10, fs = 0.040
  Trial 1: Success = 1, Time = 5.75 s, L_error = 1.88e-06, S_error = 1.80e-05
  Trial 2: Success = 1, Time = 5.92 s, L_error = 2.00e-06, S_error = 1.56e-05
  Trial 3: Success = 1, Time = 5.70 s, L_error = 1.81e-06, S_error = 1.76e-05
  Trial 4: Success = 1, Time = 5.59 s, L_error = 1.98e-06, S_error = 1.63e-05
  Trial 5: Success = 1, Time = 5.40 s, L_error = 1.99e-06, S_error = 1.51e-05
  Trial 6: Success = 1, Time = 6.08 s, L_error = 2.46e-06, S_error = 1.80e-05
  Trial 7: Success = 1, Time = 5.84 s, L_error = 1.93e-06, S_error = 1.71e-05
  Trial 8: Success = 1, Time = 5.82 s, L_error = 2.19e-06, S_error = 1.62e-05
  Trial 9: Success = 1, Time = 5.78 s, L_error = 2.23e-06, S_error = 1.58e-05
  Trial 10: Success = 1, Time = 5.56 s, L_error = 2.54e-06, S_error = 1.85e-05
  Trial 11: Success = 1, Time = 6.09 s, L_error = 2.39e-06, S_error = 1.89e-05
  Trial 12: Success = 1, Time = 5.55 s, L_error = 2.02e-06, S_error = 1.59e-05
  Trial 13: Success = 1, Time = 5.41 s, L_error = 2.46e-06, S_error = 1.81e-05
  Trial 14: Success = 1, Time = 5.98 s, L_error = 2.06e-06, S_error = 1.73e-05
  Trial 15: Success = 1, Time = 5.70 s, L_error = 1.87e-06, S_error = 1.52e-05
Testing r = 10, fs = 0.060
  Trial 1: Success = 1, Time = 6.70 s, L_error = 2.33e-06, S_error = 1.58e-05
  Trial 2: Success = 1, Time = 7.44 s, L_error = 2.38e-06, S_error = 1.17e-05
  Trial 3: Success = 1, Time = 7.13 s, L_error = 2.51e-06, S_error = 1.55e-05
  Trial 4: Success = 1, Time = 7.25 s, L_error = 2.11e-06, S_error = 1.52e-05
  Trial 5: Success = 1, Time = 7.57 s, L_error = 2.16e-06, S_error = 1.60e-05
  Trial 6: Success = 1, Time = 7.64 s, L_error = 2.06e-06, S_error = 1.61e-05
  Trial 7: Success = 1, Time = 7.70 s, L_error = 2.33e-06, S_error = 1.53e-05
  Trial 8: Success = 1, Time = 7.07 s, L_error = 2.81e-06, S_error = 1.61e-05
  Trial 9: Success = 1, Time = 7.60 s, L_error = 2.22e-06, S_error = 1.64e-05
  Trial 10: Success = 1, Time = 7.26 s, L_error = 2.19e-06, S_error = 1.61e-05
  Trial 11: Success = 1, Time = 7.05 s, L_error = 2.60e-06, S_error = 1.57e-05
  Trial 12: Success = 1, Time = 7.25 s, L_error = 2.53e-06, S_error = 1.56e-05
  Trial 13: Success = 1, Time = 8.78 s, L_error = 2.32e-06, S_error = 1.43e-05
  Trial 14: Success = 1, Time = 8.59 s, L_error = 2.33e-06, S_error = 1.53e-05
  Trial 15: Success = 1, Time = 11.99 s, L_error = 2.47e-06, S_error = 1.64e-05
Testing r = 10, fs = 0.080
  Trial 1: Success = 1, Time = 11.58 s, L_error = 2.66e-06, S_error = 1.46e-05
  Trial 2: Success = 1, Time = 8.02 s, L_error = 2.91e-06, S_error = 1.51e-05
  Trial 3: Success = 1, Time = 8.84 s, L_error = 2.63e-06, S_error = 1.46e-05
  Trial 4: Success = 1, Time = 12.20 s, L_error = 2.31e-06, S_error = 1.51e-05
  Trial 5: Success = 1, Time = 17.14 s, L_error = 2.51e-06, S_error = 1.50e-05
  Trial 6: Success = 1, Time = 11.98 s, L_error = 2.44e-06, S_error = 1.47e-05
